Scenario,Strategy,CAGR_Gross_pct,CAGR_Net_pct,CAGR_BuyHold_pct,Gross_Alpha_pct,Cost_Drag_CAGR_pct,Cost_as_pct_of_Alpha,Net_Alpha_pct
Low (0.5×),Winners,1.679,1.655,2.301,-0.622,0.0239,3.8,-0.646
Low (0.5×),Median,3.53,3.516,2.301,1.229,0.0145,1.2,1.215
Low (0.5×),Losers,1.613,1.593,2.301,-0.688,0.0198,2.9,-0.708
Base (1×),Winners,1.679,1.631,2.301,-0.622,0.0478,7.7,-0.67
Base (1×),Median,3.53,3.501,2.301,1.229,0.029,2.4,1.2
Base (1×),Losers,1.613,1.573,2.301,-0.688,0.0396,5.8,-0.728
High (2×),Winners,1.679,1.584,2.301,-0.622,0.0955,15.4,-0.718
High (2×),Median,3.53,3.472,2.301,1.229,0.058,4.7,1.171
High (2×),Losers,1.613,1.534,2.301,-0.688,0.0792,11.5,-0.768
